Time,Stim Cre,Rec Cre,Stim Cre NMDA,Rec Cre NMDA,Stim KO,Rec KO,Stim KO NMDA,Rec KO NMDA
34.5,-69.32095337,-59.88446426,-68.20014954,-51.38098526,-90.18539429,-40.27427292,-102.6190033,-39.25076294
35,-69.42435455,-59.88709641,-68.36203003,-51.37170029,-90.54044342,-40.288414,-103.1949844,-39.25936127
35.5,-69.52436829,-59.88356781,-68.51329041,-51.36771774,-90.88134766,-40.30329895,-103.7206726,-39.26494598
36,-69.61708832,-59.88129807,-68.66189575,-51.36108398,-91.21257782,-40.3137207,-104.2141037,-39.27311325
36.5,-69.70508575,-59.88458633,-68.78263855,-51.36108398,-91.50212097,-40.31818771,-104.6898804,-39.27956009
37,-69.78712463,-59.88098526,-68.92726898,-51.36506271,-91.796875,-40.31893158,-105.1330414,-39.27612305
37.5,-69.86811829,-59.88394165,-69.04668427,-51.38364029,-92.07971954,-40.32935333,-105.5556107,-39.27956009
38,-69.93992615,-59.89159775,-69.17140961,-51.40089035,-92.31939697,-40.33530807,-105.9492874,-39.28514862
38.5,-70.00902557,-59.88463211,-69.26163483,-51.40221786,-92.57172394,-40.35391617,-106.3322754,-39.29460526
39,-70.07144928,-59.88724136,-69.3478775,-51.39690781,-92.80693054,-40.36433411,-106.6911697,-39.29374695
39.5,-70.12361908,-59.88021469,-69.43677521,-51.39690781,-93.03618622,-40.37475586,-107.0281525,-39.30363083
40,-70.17919159,-59.88285065,-69.545578,-51.38894653,-93.25278473,-40.37326813,-107.3410645,-39.31136703
40.5,-70.22941589,-59.8820076,-69.61988068,-51.40089035,-93.45375824,-40.37475586,-107.6509552,-39.31480789
41,-70.2855072,-59.88838196,-69.69683838,-51.40752411,-93.65695953,-40.37773132,-107.9505768,-39.32855988
41.5,-70.32927704,-59.8939743,-69.76982117,-51.39956284,-93.83187866,-40.3829422,-108.2307816,-39.33285904
42,-70.36631775,-59.88874435,-69.84412384,-51.40221786,-94.00828552,-40.3807106,-108.5037308,-39.33372116
42.5,-70.4072876,-59.89086533,-69.90250397,-51.40486908,-94.17948151,-40.39187622,-108.754776,-39.33801651
43,-70.44753265,-59.89507294,-69.9847641,-51.41017914,-94.35440063,-40.40006256,-109.0032043,-39.33887863
43.5,-70.47903442,-59.89583588,-70.03651428,-51.40619659,-94.52484894,-40.40378571,-109.2361526,-39.33672714
44,-70.50886536,-59.89052582,-70.08295441,-51.42609787,-94.67222595,-40.41345978,-109.4579849,-39.33543777
44.5,-70.54689789,-59.89615631,-70.15062714,-51.42079163,-94.82853699,-40.40750504,-109.669426,-39.340168
45,-70.57220459,-59.89507675,-70.19042969,-51.44865799,-94.97665405,-40.41792679,-109.8744659,-39.34145737
45.5,-70.60379028,-59.90096664,-70.2355423,-51.43140793,-95.11734009,-40.41420364,-110.0670013,-39.34661484
46,-70.63455963,-59.90177155,-70.28198242,-51.45794296,-95.25727081,-40.41197205,-110.2397842,-39.35220337
46.5,-70.65370178,-59.9078064,-70.32444,-51.46723175,-95.38306427,-40.40750504,-110.4233322,-39.35907745
47,-70.67388916,-59.90480804,-70.36292267,-51.47917557,-95.49917603,-40.40155029,-110.5905457,-39.36638641
47.5,-70.69023895,-59.89988708,-70.39211273,-51.48978806,-95.61529541,-40.39634323,-110.758606,-39.36380768
48,-70.70748138,-59.90159225,-70.41466522,-51.48978806,-95.72545624,-40.38517761,-110.9159088,-39.36595535
48.5,-70.73387909,-59.90467834,-70.4544754,-51.49244308,-95.83338165,-40.39187622,-111.0620575,-39.36423874
49,-70.74568176,-59.91362762,-70.47570038,-51.50173187,-95.92568207,-40.38815308,-111.2086487,-39.35177231
49.5,-70.75978851,-59.91446304,-70.52081299,-51.50040436,-96.02021027,-40.38964081,-111.3504944,-39.35435104
50,-70.77471924,-59.91665649,-70.54735565,-51.50305557,-96.1072998,-40.39783096,-111.4875946,-39.35391998
50.5,-70.7946167,-59.91732025,-70.57123566,-51.50438309,-96.19810486,-40.39410782,-111.6169662,-39.36208725
51,-70.80052185,-59.91035461,-70.59511566,-51.51499939,-96.29189301,-40.39857483,-111.7373047,-39.36896515
51.5,-70.82391357,-59.91584396,-70.60839081,-51.51367188,-96.38939667,-40.4060173,-111.863678,-39.37240219
52,-70.83384705,-59.91065598,-70.62828827,-51.5057106,-96.47573853,-40.40452957,-111.9788971,-39.38100052
52.5,-70.84934235,-59.91566467,-70.6428833,-51.51101685,-96.54943085,-40.41048431,-112.1043854,-39.37154388
53,-70.86044312,-59.90765762,-70.66942596,-51.49774933,-96.6402359,-40.41271591,-112.2144318,-39.38228989
53.5,-70.86631012,-59.91597748,-70.67605591,-51.50836563,-96.72062683,-40.40974045,-112.3278885,-39.37713242
54,-70.87763977,-59.91851044,-70.6866684,-51.49907684,-96.77347565,-40.41048431,-112.4439621,-39.38272095
54.5,-70.88729095,-59.91166687,-70.69197845,-51.51897812,-96.84194946,-40.41495132,-112.5316315,-39.38056946
55,-70.89265442,-59.91559219,-70.695961,-51.50438309,-96.90968323,-40.41643906,-112.633049,-39.39518356
55.5,-70.90703583,-59.91170502,-70.69994354,-51.50040436,-96.96923065,-40.41420364,-112.7173004,-39.39905167
56,-70.909935,-59.91223145,-70.707901,-51.52428818,-97.0124054,-40.41420364,-112.8011246,-39.41022873
56.5,-70.91814423,-59.91178894,-70.71055603,-51.54021072,-97.06525421,-40.41122818,-112.8883896,-39.41882324
57,-70.92746735,-59.91214371,-70.72249603,-51.54551697,-97.11214447,-40.41197205,-112.962326,-39.4222641
57.5,-70.92603302,-59.91040421,-70.70391846,-51.55878448,-97.15233612,-40.39187622,-113.0435638,-39.41968536
58,-70.92702484,-59.90769958,-70.71188354,-51.55082321,-97.1969986,-40.38145447,-113.1213455,-39.4222641
58.5,-70.92571259,-59.91687393,-70.71188354,-51.55215073,-97.23421478,-40.37773132,-113.1983261,-39.41753387
59,-70.93932343,-59.91012573,-70.719841,-51.57736206,-97.26919556,-40.37326813,-113.2769623,-39.42484283
59.5,-70.94606781,-59.91369629,-70.70524597,-51.56143951,-97.31013489,-40.38368607,-113.3409882,-39.4252739
60,-70.94989014,-59.91277695,-70.707901,-51.56940079,-97.34958649,-40.37475586,-113.4127731,-39.43343735
60.5,-70.94988251,-59.9201622,-70.70127106,-51.57603455,-97.39052582,-40.37698746,-113.4776764,-39.4437561
61,-70.95374298,-59.91727066,-70.69463348,-51.58134079,-97.427742,-40.3829422,-113.5382843,-39.44203568
61.5,-70.95668793,-59.91760635,-70.69065094,-51.58797455,-97.47314453,-40.39262009,-113.5928879,-39.44547272
62,-70.96294403,-59.9196434,-70.684021,-51.5826683,-97.50217438,-40.39262009,-113.6509018,-39.45363998
62.5,-70.96512604,-59.9204216,-70.684021,-51.5826683,-97.55651093,-40.39336395,-113.7067871,-39.46524429
63,-70.97103882,-59.91572189,-70.68932343,-51.59726334,-97.59075165,-40.39410782,-113.7630844,-39.46825409
63.5,-70.97182465,-59.91508484,-70.67075348,-51.60389709,-97.63391876,-40.38815308,-113.8211136,-39.46653366
64,-70.9721756,-59.9201622,-70.66544342,-51.60920334,-97.65327454,-40.39336395,-113.8701019,-39.46567535
64.5,-70.9777298,-59.91990662,-70.64819336,-51.62380219,-97.68974304,-40.39187622,-113.9131012,-39.47513199
65,-70.98252106,-59.92912674,-70.66544342,-51.60256958,-97.71430969,-40.40006256,-113.9539337,-39.47814178
65.5,-70.98447418,-59.93104553,-70.65615082,-51.6264534,-97.74929047,-40.40229797,-113.9994888,-39.47341156
