Time,KO + Cre,KO + Cre NMDA,KO,KO NMDA
64,-52.79541016,-50.84228516,-50.47607422,-48.40087891
64.5,-52.76489258,-50.78125,-50.41503906,-48.46191406
65,-52.76489258,-50.68969727,-50.5065918,-48.43139648
65.5,-52.67333984,-50.65917969,-50.53710938,-48.37036133
66,-52.58178711,-50.56762695,-50.53710938,-48.37036133
66.5,-52.55126953,-50.47607422,-50.59814453,-48.37036133
67,-52.52075195,-50.41503906,-50.53710938,-48.43139648
67.5,-52.4597168,-50.38452148,-50.68969727,-48.49243164
68,-52.39868164,-50.32348633,-50.62866211,-48.40087891
68.5,-52.36816406,-50.20141602,-50.59814453,-48.49243164
69,-52.33764648,-50.14038086,-50.65917969,-48.49243164
69.5,-52.21557617,-49.98779297,-50.56762695,-48.46191406
70,-52.09350586,-49.98779297,-50.59814453,-48.49243164
70.5,-52.06298828,-49.86572266,-50.56762695,-48.46191406
71,-52.0324707,-49.8046875,-50.59814453,-48.61450195
71.5,-52.06298828,-49.74365234,-50.65917969,-48.58398438
72,-51.94091797,-49.65209961,-50.53710938,-48.52294922
72.5,-51.81884766,-49.59106445,-50.62866211,-48.61450195
73,-51.81884766,-49.5300293,-50.62866211,-48.61450195
73.5,-51.72729492,-49.37744141,-50.68969727,-48.73657227
74,-51.66625977,-49.40795898,-50.65917969,-48.70605469
74.5,-51.60522461,-49.25537109,-50.68969727,-48.73657227
75,-51.57470703,-49.22485352,-50.72021484,-48.73657227
75.5,-51.42211914,-49.16381836,-50.68969727,-48.67553711
76,-51.36108398,-49.04174805,-50.78125,-48.73657227
76.5,-51.33056641,-49.04174805,-50.78125,-48.70605469
77,-51.26953125,-48.91967773,-50.68969727,-48.73657227
77.5,-51.20849609,-48.91967773,-50.75073242,-48.76708984
78,-51.20849609,-48.79760742,-50.68969727,-48.76708984
78.5,-51.0559082,-48.76708984,-50.72021484,-48.828125
79,-51.0559082,-48.70605469,-50.75073242,-48.85864258
79.5,-50.96435547,-48.5534668,-50.75073242,-48.88916016
80,-50.87280273,-48.58398438,-50.72021484,-48.95019531
80.5,-50.90332031,-48.46191406,-50.72021484,-48.91967773
81,-50.75073242,-48.43139648,-50.68969727,-48.91967773
81.5,-50.72021484,-48.30932617,-50.72021484,-48.91967773
82,-50.65917969,-48.24829102,-50.72021484,-48.828125
82.5,-50.56762695,-48.18725586,-50.78125,-48.88916016
83,-50.59814453,-48.06518555,-50.78125,-48.88916016
83.5,-50.5065918,-47.97363281,-50.84228516,-48.828125
84,-50.44555664,-47.88208008,-50.84228516,-48.85864258
84.5,-50.38452148,-47.72949219,-50.87280273,-48.88916016
85,-50.26245117,-47.63793945,-50.84228516,-48.91967773
85.5,-50.26245117,-47.48535156,-50.87280273,-48.95019531
86,-50.10986328,-47.39379883,-50.81176758,-48.88916016
86.5,-50.10986328,-47.27172852,-50.84228516,-48.91967773
87,-49.98779297,-47.21069336,-50.84228516,-48.88916016
87.5,-49.98779297,-47.08862305,-50.84228516,-48.91967773
88,-49.86572266,-46.99707031,-50.84228516,-48.91967773
88.5,-49.71313477,-46.90551758,-50.90332031,-49.01123047
89,-49.74365234,-46.72241211,-50.84228516,-49.01123047
89.5,-49.62158203,-46.66137695,-50.96435547,-48.98071289
90,-49.59106445,-46.47827148,-50.87280273,-49.04174805
90.5,-49.46899414,-46.32568359,-50.93383789,-49.1027832
91,-49.37744141,-46.14257813,-51.02539063,-48.98071289
91.5,-49.31640625,-45.95947266,-50.99487305,-48.98071289
92,-49.22485352,-45.77636719,-51.08642578,-48.88916016
92.5,-49.19433594,-45.37963867,-51.11694336,-48.79760742
93,-49.04174805,-40.92407227,-51.17797852,-48.85864258
93.5,-48.98071289,-37.78076172,-51.14746094,-48.76708984
94,-48.85864258,-38.90991211,-51.23901367,-48.85864258
94.5,-48.828125,-40.19165039,-51.17797852,-48.76708984
95,-48.70605469,-41.22924805,-51.14746094,-48.79760742
95.5,-48.61450195,-42.14477539,-51.20849609,-48.91967773
96,-48.61450195,-43.06030273,-51.17797852,-48.85864258
96.5,-48.43139648,-43.97583008,-51.20849609,-48.91967773
97,-48.40087891,-44.73876953,-51.23901367,-48.98071289
97.5,-48.24829102,-45.31860352,-51.17797852,-48.91967773
98,-48.1262207,-45.98999023,-51.17797852,-48.91967773
98.5,-48.00415039,-46.6003418,-51.20849609,-48.98071289
99,-47.79052734,-47.21069336,-51.20849609,-49.01123047
99.5,-47.63793945,-47.79052734,-51.26953125,-49.04174805
100,-47.48535156,-48.33984375,-51.26953125,-49.07226563
100.5,-47.18017578,-48.95019531,-51.20849609,-49.07226563
101,-43.2434082,-49.37744141,-51.17797852,-49.04174805
101.5,-41.96166992,-49.86572266,-51.17797852,-49.07226563
102,-43.12133789,-50.26245117,-51.17797852,-49.07226563
102.5,-43.76220703,-50.56762695,-51.08642578,-49.1027832
103,-44.2199707,-50.96435547,-51.08642578,-49.1027832
103.5,-44.73876953,-51.33056641,-51.08642578,-49.13330078
104,-45.07446289,-51.69677734,-51.08642578,-49.19433594
104.5,-45.56274414,-52.0324707,-51.0559082,-49.19433594
105,-45.8984375,-52.42919922,-51.08642578,-49.22485352
105.5,-46.26464844,-52.67333984,-51.11694336,-49.25537109
106,-46.66137695,-52.97851563,-51.0559082,-49.28588867
106.5,-46.93603516,-53.13110352,-51.0559082,-49.37744141
107,-47.27172852,-53.4362793,-51.0559082,-49.43847656
107.5,-47.60742188,-53.7109375,-51.08642578,-49.40795898
108,-47.91259766,-53.92456055,-51.0559082,-49.43847656
108.5,-48.18725586,-54.19921875,-51.11694336,-49.40795898
109,-48.49243164,-54.35180664,-51.08642578,-49.46899414
109.5,-48.76708984,-54.59594727,-51.08642578,-49.56054688
110,-49.1027832,-54.84008789,-51.08642578,-49.49951172
110.5,-49.34692383,-55.02319336,-51.08642578,-49.46899414
111,-49.65209961,-55.20629883,-51.08642578,-49.49951172
111.5,-49.86572266,-55.48095703,-51.08642578,-49.5300293
112,-50.17089844,-55.60302734,-51.02539063,-49.59106445
112.5,-50.38452148,-55.78613281,-51.08642578,-49.59106445
113,-50.65917969,-55.9387207,-51.11694336,-49.59106445
113.5,-50.84228516,-56.09130859,-51.08642578,-49.56054688
114,-51.0559082,-56.24389648,-51.08642578,-49.62158203
114.5,-51.33056641,-56.3659668,-51.02539063,-49.65209961
115,-51.54418945,-56.51855469,-51.02539063,-49.59106445
115.5,-51.72729492,-56.61010742,-51.0559082,-49.62158203
116,-51.91040039,-56.73217773,-51.08642578,-49.62158203
116.5,-52.15454102,-56.79321289,-51.0559082,-49.59106445
117,-52.33764648,-57.00683594,-51.02539063,-49.62158203
117.5,-52.52075195,-57.06787109,-51.08642578,-49.59106445
118,-52.64282227,-57.06787109,-51.0559082,-49.62158203
118.5,-52.85644531,-57.15942383,-51.08642578,-49.59106445
119,-53.0090332,-57.22045898,-51.0559082,-49.59106445
119.5,-53.10058594,-57.37304688,-51.0559082,-49.56054688
120,-53.25317383,-57.40356445,-51.08642578,-49.56054688
120.5,-53.37524414,-57.40356445,-51.0559082,-49.59106445
121,-53.55834961,-57.49511719,-51.08642578,-49.65209961
121.5,-53.68041992,-57.55615234,-51.08642578,-49.71313477
122,-53.80249023,-57.58666992,-50.96435547,-49.59106445
122.5,-53.92456055,-57.73925781,-51.02539063,-49.68261719
123,-54.04663086,-57.70874023,-50.99487305,-49.71313477
123.5,-54.16870117,-57.73925781,-50.99487305,-49.71313477
124,-54.32128906,-57.73925781,-50.99487305,-49.74365234
124.5,-54.35180664,-57.86132813,-50.90332031,-49.74365234
125,-54.44335938,-57.86132813,-50.84228516,-49.77416992
125.5,-54.56542969,-57.92236328,-50.87280273,-49.77416992
126,-54.6875,-57.92236328,-50.90332031,-49.83520508
126.5,-54.77905273,-57.95288086,-50.96435547,-49.8046875
127,-54.87060547,-58.01391602,-51.0559082,-49.74365234
127.5,-54.9621582,-58.01391602,-51.08642578,-49.86572266
128,-54.99267578,-58.01391602,-51.0559082,-49.8046875
128.5,-55.11474609,-57.98339844,-50.99487305,-49.89624023
129,-55.17578125,-57.98339844,-50.99487305,-49.89624023
129.5,-55.23681641,-58.01391602,-51.0559082,-49.89624023
130,-55.26733398,-58.01391602,-51.0559082,-49.92675781
130.5,-55.32836914,-57.98339844,-50.96435547,-49.86572266
131,-55.35888672,-58.01391602,-50.99487305,-49.83520508
131.5,-55.41992188,-58.01391602,-50.96435547,-49.8046875
132,-55.54199219,-57.95288086,-50.96435547,-49.83520508
132.5,-55.57250977,-58.01391602,-50.99487305,-49.8046875
133,-55.60302734,-57.95288086,-51.0559082,-49.83520508
133.5,-55.57250977,-57.92236328,-51.02539063,-49.8046875
134,-55.6640625,-57.95288086,-50.99487305,-49.8046875
134.5,-55.72509766,-57.8918457,-50.99487305,-49.86572266
135,-55.72509766,-57.92236328,-50.99487305,-49.86572266
135.5,-55.75561523,-57.86132813,-51.02539063,-49.83520508
136,-55.69458008,-57.86132813,-50.99487305,-49.83520508
136.5,-55.75561523,-57.95288086,-51.02539063,-49.8046875
137,-55.78613281,-57.83081055,-50.99487305,-49.83520508
137.5,-55.81665039,-57.80029297,-50.96435547,-49.86572266
138,-55.78613281,-57.76977539,-51.02539063,-49.86572266
138.5,-55.84716797,-57.73925781,-50.93383789,-49.86572266
139,-55.81665039,-57.73925781,-50.93383789,-49.83520508
139.5,-55.81665039,-57.73925781,-50.96435547,-49.86572266
140,-55.84716797,-57.6171875,-50.87280273,-49.92675781
140.5,-55.81665039,-57.6171875,-50.96435547,-49.95727539
141,-55.87768555,-57.58666992,-50.93383789,-49.95727539
141.5,-55.81665039,-57.58666992,-50.93383789,-49.95727539
142,-55.84716797,-57.58666992,-50.90332031,-49.98779297
142.5,-55.87768555,-57.58666992,-50.87280273,-49.89624023
143,-55.84716797,-57.55615234,-51.02539063,-49.98779297
143.5,-55.84716797,-57.52563477,-50.99487305,-49.89624023
144,-55.96923828,-57.58666992,-50.99487305,-49.95727539
144.5,-55.90820313,-57.43408203,-50.99487305,-50.01831055
145,-55.90820313,-57.46459961,-50.96435547,-50.04882813
145.5,-55.87768555,-57.43408203,-50.99487305,-50.01831055
146,-55.9387207,-57.37304688,-50.96435547,-50.01831055
146.5,-55.81665039,-57.37304688,-50.99487305,-50.04882813
147,-55.90820313,-57.3425293,-50.99487305,-50.04882813
147.5,-55.90820313,-57.3425293,-50.93383789,-50.10986328
148,-55.84716797,-57.28149414,-50.96435547,-50.10986328
148.5,-55.90820313,-57.15942383,-50.90332031,-50.0793457
149,-55.96923828,-57.15942383,-50.93383789,-50.10986328
149.5,-55.99975586,-57.12890625,-50.93383789,-49.98779297
150,-55.9387207,-57.06787109,-50.93383789,-50.01831055
150.5,-55.9387207,-57.06787109,-50.96435547,-50.01831055
151,-55.9387207,-57.03735352,-50.96435547,-49.92675781
151.5,-55.90820313,-56.9152832,-50.90332031,-49.92675781
152,-55.96923828,-56.88476563,-50.93383789,-49.92675781
152.5,-55.96923828,-56.82373047,-50.87280273,-49.92675781
153,-55.87768555,-56.9152832,-50.81176758,-49.95727539
153.5,-55.96923828,-56.79321289,-50.81176758,-49.89624023
154,-55.78613281,-56.76269531,-50.81176758,-49.98779297
154.5,-55.9387207,-56.640625,-50.78125,-49.86572266
155,-55.9387207,-56.57958984,-50.87280273,-49.89624023
155.5,-55.84716797,-56.61010742,-50.78125,-49.89624023
156,-55.87768555,-56.51855469,-50.75073242,-49.92675781
156.5,-55.78613281,-56.51855469,-50.81176758,-49.98779297
157,-55.84716797,-56.42700195,-50.78125,-50.01831055
157.5,-55.81665039,-56.42700195,-50.75073242,-49.98779297
158,-55.81665039,-56.30493164,-50.72021484,-49.92675781
158.5,-55.78613281,-56.33544922,-50.78125,-49.98779297
159,-55.75561523,-56.30493164,-50.78125,-50.01831055
159.5,-55.78613281,-56.27441406,-50.75073242,-49.95727539
160,-55.69458008,-56.24389648,-50.75073242,-49.98779297
160.5,-55.69458008,-56.24389648,-50.78125,-49.98779297
161,-55.72509766,-56.15234375,-50.84228516,-49.95727539
